#cm^-1	mean
886	7.893720430729445e-5
887	8.173882088158282e-5
888	7.712903679930607e-5
889	7.626450023963117e-5
890	8.201347663998607e-5
891	8.178513817256312e-5
892	7.816204597475008e-5
893	8.006795615074226e-5
894	7.776149868732321e-5
895	8.053443962126041e-5
896	8.237631554948167e-5
897	8.305254159495235e-5
898	8.0301336129196e-5
899	7.96339816588443e-5
900	8.118127298075705e-5
901	7.715887004451364e-5
902	7.814382697688418e-5
903	7.930523934192023e-5
904	8.56742713949643e-5
905	8.560958376619963e-5
906	8.383518143091352e-5
907	8.141759026329966e-5
908	7.930855863378384e-5
909	8.037700172280887e-5
910	8.721738849999383e-5
911	8.105215492832944e-5
912	8.507491438649593e-5
913	8.537017856724563e-5
914	8.305824376293463e-5
915	8.395674813073134e-5
916	8.588486889493656e-5
917	7.723200760665352e-5
918	8.584692186559549e-5
919	8.671734030940574e-5
920	8.114435404422694e-5
921	8.305469928018283e-5
922	8.235095447162166e-5
923	8.322722860611979e-5
924	8.57057231769431e-5
925	7.488994742743671e-5
926	6.923007204022724e-5
927	7.662085190531799e-5
928	7.932448861538437e-5
929	7.909221603767947e-5
930	9.096243229578252e-5
931	8.737043390283368e-5
932	8.779715426499029e-5
933	9.308759108535029e-5
934	8.861700334819037e-5
935	8.774536108830941e-5
936	8.774173693382189e-5
937	8.184325342881497e-5
938	8.814562897896401e-5
939	8.827549827401523e-5
940	8.600476285209876e-5
941	7.854306204535534e-5
942	8.526191522832964e-5
943	8.694172065588645e-5
944	8.753197471378372e-5
945	8.383964013773952e-5
946	8.538456822861921e-5
947	8.421373495366429e-5
948	8.568904595449569e-5
949	8.819695722195323e-5
950	8.841731905704365e-5
951	8.339171254192482e-5
952	8.710280089871965e-5
953	8.51173608680256e-5
954	8.415178599534558e-5
955	8.643142136861564e-5
956	8.532185966032558e-5
957	8.866175994626244e-5
958	8.626522831036711e-5
959	8.61333872308023e-5
960	9.050425287568944e-5
961	8.74501733051147e-5
962	8.564577365177681e-5
963	8.510715451848228e-5
964	8.319435728481038e-5
965	9.292525064665818e-5
966	8.3486846415326e-5
967	9.307518485002217e-5
968	9.106427387450826e-5
969	9.10812370420899e-5
970	8.835096232360238e-5
971	9.141414484474807e-5
972	9.080592499230989e-5
973	8.84322114870884e-5
974	8.626468115835453e-5
975	8.909715543268254e-5
976	8.827451601973737e-5
977	8.69524723384529e-5
978	9.201528519042772e-5
979	9.874683819361969e-5
980	8.938173778005877e-5
981	9.683114767540245e-5
982	9.623735386412586e-5
983	9.496958591626018e-5
984	9.433225714019499e-5
985	8.623385947430505e-5
986	8.941866035456776e-5
987	9.200981294270602e-5
988	0.0001027970771247056
989	0.0001027970771247056
990	0.00010841487601283
991	0.0001088997982151342
992	0.00011219398729736
993	0.000106561420398066
994	0.0001212387265695726
995	0.0001124686743423809
996	0.0001100728113669902
997	0.0001155536636360919
998	0.0001233119917742443
999	0.0001231475027452687
1000	0.0001134786303737201
1001	0.000120890415564645
1002	0.0001293850291403941
1003	0.000124743962805951
1004	0.0001275442598853261
1005	0.0001310636784182862
1006	0.0001318421236646828
1007	0.0001279906420677436
1008	0.000122672909492394
1009	0.0001447782298782839
1010	0.0001329470600467176
1011	0.0001317142261541449
1012	0.0001374505089188462
1013	0.0001488767651608214
1014	0.0001449464718461968
1015	0.0001392790254612919
1016	0.0001415734259353484
1017	0.0001470515722758137
1018	0.0001585297402925789
1019	0.0001567445433465763
1020	0.0001503534644143655
1021	0.0001581715361680836
1022	0.0001486974157160148
1023	0.0001492229748691899
1024	0.0001574366397107952
1025	0.0001550428467453459
1026	0.0001502971208537929
1027	0.0001533777074655518
1028	0.000156047096243128
1029	0.0001446668735297861
1030	0.0001511921662313397
1031	0.000152088882168755
1032	0.0001572122040670366
1033	0.0001482938037952409
1034	0.000144136383460136
1035	0.0001493250056228134
1036	0.000153182943176944
1037	0.0001423708155925852
1038	0.0001444806257495658
1039	0.0001489236892666668
1040	0.0001417848259734454
1041	0.0001417271021637133
1042	0.0001390142409945838
1043	0.0001437922575860283
1044	0.0001453106669941918
1045	0.0001439776548068039
1046	0.0001473450203775428
1047	0.0001532297188532539
1048	0.000151152840408031
1049	0.0001406594979926013
1050	0.0001446863912860862
1051	0.0001488367430283686
1052	0.0001497471705079079
1053	0.0001461005354940426
1054	0.0001434143268852494
1055	0.0001420250577211846
1056	0.0001477293117204679
1057	0.000150651553121861
1058	0.0001360846792522352
1059	0.000146057186066173
1060	0.0001423213150701486
1061	0.0001436150516383351
1062	0.0001451476295187603
1063	0.000148548329161713
1064	0.0001441712745872791
1065	0.0001405423950927795
1066	0.0001474710988986771
1067	0.0001467890069761779
1068	0.0001465997222112491
1069	0.0001430671851267106
1070	0.0001424276830221062
1071	0.0001421087195922155
1072	0.0001445505018637051
1073	0.000146968879562337
1074	0.0001472223171731458
1075	0.00015151985862758
1076	0.0001504294887126889
1077	0.0001524569277535193
1078	0.0001516637043096126
1079	0.0001536488547571936
1080	0.0001613163301954047
1081	0.0001592907938174904
1082	0.0001512549955805298
1083	0.0001465599139919505
1084	0.0001582758792210371
1085	0.0001493801115429961
1086	0.0001553372654598207
1087	0.0001584641635417939
1088	0.0001501585473306477
1089	0.0001520234465715476
1090	0.0001573311339598148
1091	0.0001506977867393289
1092	0.0001647442724788561
1093	0.0001735796497086995
1094	0.0001756170546286739
1095	0.0001690587887424045
1096	0.000160340339061804
1097	0.000164824457897339
1098	0.000173132751660887
1099	0.0001698265477898531
1100	0.0001764583532349207
1101	0.0001716583647066726
1102	0.0001725992624415086
1103	0.0001757301375619136
1104	0.0001763217645930126
1105	0.0001653930652537383
1106	0.0001617784946574829
1107	0.0001750013616401703
1108	0.0001654444356972817
1109	0.0001651449827477337
1110	0.0001621670926397201
1111	0.0001667139411438257
1112	0.0001633380437851884
1113	0.0001796549011487513
1114	0.0001612353138625622
1115	0.0001643498515477405
1116	0.0001602405827725307
1117	0.0001621953051653692
1118	0.0001476958641433157
1119	0.0001582403929205611
1120	0.0001533066693809815
1121	0.0001477485304349102
1122	0.0001610971710761076
1123	0.0001543373087770306
1124	0.0001589295803569256
1125	0.0001555074413772673
1126	0.0001545898441690953
1127	0.0001563626326969825
1128	0.0001405784802045672
1129	0.0001391342062561308
1130	0.0001464479413698428
1131	0.0001477597805205731
1132	0.0001498865589383058
1133	0.0001415755221387372
1134	0.0001405523442372215
1135	0.0001361852308036759
1136	0.0001394695209455677
1137	0.0001403897404088638
1138	0.0001376254920614883
1139	0.000143104640301317
1140	0.0001518144141300582
1141	0.0001515053401817566
1142	0.0001437330458429642
1143	0.0001485739761847072
1144	0.0001580642696353607
1145	0.0001623740477953106
1146	0.0001532691618194803
1147	0.0001560325603350066
1148	0.0001571322762174531
1149	0.0001528841617982835
1150	0.0001452724420232699
1151	0.0001498854689998552
1152	0.000149064650759101
1153	0.0001506861954112536
1154	0.0001491922383138445
1155	0.0001454114360967651
1156	0.0001521688522188925
1157	0.0001557913506985642
1158	0.0001490265196480321
1159	0.0001515258642029948
1160	0.0001415729260770605
1161	0.0001432061733794398
1162	0.0001435478923667688
1163	0.0001549136999528855
1164	0.00014777300748392
1165	0.0001441568078007548
1166	0.0001478500009397976
1167	0.0001456073587178253
1168	0.0001469836890464649
1169	0.0001469470793381334
1170	0.0001554716596729123
1171	0.0001468683294660877
1172	0.0001440014209947548
1173	0.0001501600359915756
1174	0.0001478917052736506
1175	0.000149281439371407
1176	0.0001490923823439517
1177	0.0001381987785862292
1178	0.0001407248608302325
1179	0.0001364602816465777
1180	0.0001435116260836366
1181	0.0001451695650757755
1182	0.0001396542458678597
1183	0.000149221858009696
1184	0.0001441839885956143
1185	0.0001447933740564622
1186	0.0001367069809930399
1187	0.0001343036907201168
1188	0.0001374167244648562
1189	0.0001333557578618637
1190	0.0001332407176960259
1191	0.0001369456484098918
1192	0.0001381033405777999
1193	0.0001467506372136997
1194	0.0001424666304956189
1195	0.0001493218413088471
1196	0.000144920048478525
1197	0.0001553351816255598
1198	0.0001542854457511566
1199	0.0001472306088544431
1200	0.0001520624195109123
1201	0.0001522947932244278
1202	0.0001502004997746554
1203	0.000156971770047676
1204	0.0001536750380182639
1205	0.0001499886726378463
1206	0.0001589909021276981
1207	0.0001582044656970537
1208	0.0001471757903345859
1209	0.0001524684041214641
1210	0.0001549652821267954
1211	0.0001607317753951064
1212	0.0001596380738192237
1213	0.0001568434352520855
1214	0.0001574306792463177
1215	0.0001505166452261622
1216	0.0001494763018854429
1217	0.0001420507192960941
1218	0.0001450530500733294
1219	0.0001488989750214387
1220	0.000167794902517926
1221	0.0001505770771473181
1222	0.0001521461068477949
1223	0.0001533267321065069
1224	0.0001621770337806083
1225	0.0001500117999967188
1226	0.0001493858551839366
1227	0.0001585873964359052
1228	0.0001580502677825278
1229	0.0001467753201723099
1230	0.0001441791348042898
1231	0.0001480975850427058
1232	0.0001608132268302143
1233	0.0001527670276118443
1234	0.0001422287539753598
1235	0.0001416853403497954
1236	0.0001399871507601348
1237	0.0001407441930496134
1238	0.000135413117823191
1239	0.0001452166288800073
1240	0.0001391593752487098
1241	0.0001348439996945671
1242	0.0001352141945972106
1243	0.0001393345286487602
1244	0.0001437396611436268
1245	0.0001338198126177304
1246	0.0001285721940803341
1247	0.0001359817972115707
1248	0.0001338290618150497
1249	0.0001397075255226808
1250	0.0001368186080071611
1251	0.0001442153479729313
1252	0.0001375436288071796
1253	0.0001380665315082297
1254	0.0001380088833684566
1255	0.0001580655531142838
1256	0.0001604385455721057
1257	0.0001729711861116812
1258	0.0001738361272145994
1259	0.0001689438242465257
1260	0.0001793602961697616
1261	0.0001699545333394782
1262	0.0001797097153030337
1263	0.0001753294389345684
1264	0.0001639981899643317
1265	0.0001657595552387647
1266	0.0001610619496204889
1267	0.0001455433492083105
1268	0.0001490923386882059
1269	0.0001479485785239376
1270	0.0001514763927843889
1271	0.0001521846177638508
1272	0.0001549788561533206
1273	0.0001497534700320103
1274	0.0001493024479714222
1275	0.0001494541458669119
1276	0.0001541734221973455
1277	0.0001545311650261285
1278	0.0001605817153176757
1279	0.000157265401503537
1280	0.00016795141127659
1281	0.0001703255096799694
1282	0.0001777242388925516
1283	0.000176182201539632
1284	0.0001764216227456928
1285	0.0001698583648249041
1286	0.0001661891597905197
1287	0.0001508866749645678
1288	0.0001387269898259545
1289	0.0001399373795720748
1290	0.0001451117888791486
1291	0.0001356252862024122
1292	0.0001349148893496022
1293	0.0001347839635855053
1294	0.0001395228820911143
1295	0.0001413825426425319
1296	0.0001469602852012031
1297	0.0001446283073164523
1298	0.0001438865598174743
1299	0.0001473385105782655
1300	0.0001445249690732453
1301	0.0001499860001786147
1302	0.0001468570153519977
1303	0.0001574960057041608
1304	0.0001508081673819106
1305	0.0001583728706464171
1306	0.0001541809026093689
1307	0.0001578411705850158
1308	0.0001645280703087336
1309	0.0001605797282536514
1310	0.0001547326653962955
1311	0.0001664972325670534
1312	0.00015118244336918
1313	0.0001543461417895742
1314	0.000158441138046328
1315	0.0001580773685418537
1316	0.0001524113104096613
1317	0.0001506915243226104
1318	0.0001472498879593332
1319	0.0001432251963706222
1320	0.0001486164605012164
1321	0.0001495456468546762
1322	0.0001463478547520936
1323	0.0001438363622582984
1324	0.0001489389556809329
1325	0.0001500400481745601
1326	0.0001519415622169616
1327	0.0001483126216044183
1328	0.0001636400891584343
1329	0.0001653866245760581
1330	0.0001646238000830635
1331	0.0001586077567480971
1332	0.0001637870009290054
1333	0.0001599638460902499
1334	0.0001638462141272612
1335	0.0001570423497469164
1336	0.0001688481395831333
1337	0.0001313623906753492
1338	0.0001446696274797432
1339	0.0001474637261708268
1340	0.0001646338903810828
1341	0.000153868441702798
1342	0.0001558158393891062
1343	0.0001567576451634524
1344	0.000159295958292205
1345	0.0001713593621389011
1346	0.0001657703483942895
1347	0.0001659651868976653
1348	0.0001621266856091098
1349	0.0001544794758956414
1350	0.0001044945020112209
1351	0.0001044945020112209
1352	0.0001084071569493971
1353	0.0001092456142941956
1354	0.0001115959021262826
1355	0.0001165720233984757
1356	0.0001198512996779754
1357	0.0001223966166435275
1358	0.0001323862743447535
1359	0.0001331215862592217
1360	0.0001530777488369495
1361	0.0001379161571094301
1362	0.0001430025113222656
1363	0.0001429890711733605
1364	0.0001326898287516088
1365	0.0001410138509527315
1366	0.0001412891360814683
1367	0.0001401542889652775
1368	0.0001544336577353534
1369	0.0001531947636976839
1370	0.0001747441390762106
1371	0.0001517216987849679
1372	0.000146032358316006
1373	0.000149034626520006
1374	0.0001627554345759564
1375	0.0001699101732810959
1376	0.0001687285446678287
1377	0.000178781403519679
1378	0.0001821681100409477
1379	0.0001654514489928259
1380	0.0001742489039315842
1381	0.0001660083784372546
1382	0.0001654856932873373
1383	0.0001782400693628006
1384	0.0001719659703667277
1385	0.0001499181926192251
1386	0.0001544464699691162
1387	0.0001686642877757551
1388	0.0001623732081498019
1389	0.0001571700428030453
1390	0.0001661193789914251
1391	0.0001756650963216088
1392	0.0001493124407716095
1393	0.0001539020129712299
1394	0.0001656788881518877
1395	0.0001837255316786468
1396	0.0001846902523539027
1397	0.0001449446463084314
1398	0.0001784367050277069
1399	0.0001866910664830357
1400	0.0001844096885179169
1401	0.0001932535611558706
1402	0.0001893451859359628
1403	0.0001328541526163463
1404	0.0001834386828704736
1405	0.0001956338688614778
1406	0.000203369779046625
1407	0.0001958431777893564
1408	0.0001795068761566656
1409	0.0001804760831873864
1410	0.0001922969677252694
1411	0.0001967437012353912
1412	0.0001940375572303311
1413	0.0002022340442636051
1414	0.0002156686488888228
1415	0.0002209128710092045
1416	0.0002178195922169834
1417	0.0001365567834000103
1418	0.0001619887632841711
1419	0.0001845392078394071
1420	0.0001919657268445009
1421	0.0001809003733797
1422	0.0001498974634159823
1423	0.0001578624694957398
1424	0.000164945627329871
1425	0.0001594816218130291
1426	0.0001647101729759015
1427	0.0001547115527500865
1428	0.0001329932674707381
1429	0.0001451195726986043
1430	0.0001514114475867246
1431	0.0001491821582021657
1432	0.0001642093629925511
1433	0.0001833497051848099
1434	0.0001264230275410227
1435	0.0001127875773818232
1436	0.0001302060431044082
1437	0.0001350595339317807
1438	0.0001302933233091609
1439	0.0001317158399615437
1440	0.0001205474894959481
1441	0.0001273202477023006
1442	0.0001299522977205925
1443	0.0001299268507864326
1444	0.0001404570197337309
1445	0.0001285631893551908
1446	0.0001143223467806821
1447	0.0001324655786447692
1448	0.0001292223809286951
1449	0.0001205905376991723
1450	0.0001236736155988182
1451	0.0001398076645273251
1452	0.0001501925660704729
1453	0.0001639139663893729
1454	0.0001305636113102084
1455	9.895134207908993e-5
1456	0.0001079285524610895
1457	0.0001048401041771286
1458	0.0001171726638858671
1459	0.0001217474782606586
1460	0.0001229652865731623
1461	0.0001376153435558082
1462	0.0001110865625378211
1463	9.632797373342327e-5
1464	0.0001088344790332485
1465	0.0001135732687544077
1466	0.0001176661171484739
1467	0.0001175915960629937
1468	0.0001220566715346649
1469	0.0001227220622240564
1470	9.350260879728017e-5
1471	8.560679707443343e-5
1472	9.725972267915495e-5
1473	9.831433853833011e-5
1474	7.944145290821329e-5
1475	9.711805250844924e-5
1476	9.437884000362831e-5
1477	9.632559886085804e-5
1478	0.0001000313786789776
1479	9.114602726185698e-5
1480	8.91214287548791e-5
1481	9.832025461946616e-5
1482	9.919921940309011e-5
1483	9.533001939416865e-5
1484	9.160028857877481e-5
1485	8.783122320892296e-5
1486	9.005542815430088e-5
1487	9.012343944050375e-5
1488	7.577509168186226e-5
1489	7.955476139613897e-5
1490	8.631789023638704e-5
1491	9.347197410534143e-5
1492	9.442120135645379e-5
1493	8.784564561210577e-5
1494	7.76620534452377e-5
1495	8.873396800481714e-5
1496	8.750987690291365e-5
1497	8.209472871385516e-5
1498	8.8299805065617e-5
1499	8.620221269666219e-5
1500	8.637531791464426e-5
1501	8.982924773590634e-5
1502	0.0001036188863508871
1503	0.0001148337236372755
1504	9.932014072546729e-5
1505	7.537131095887162e-5
1506	7.855112417018974e-5
1507	8.171781119017396e-5
1508	8.782408622209921e-5
1509	8.706958979018962e-5
1510	8.151579386321827e-5
1511	8.256039072875863e-5
1512	8.303385257022456e-5
1513	8.645470188639584e-5
1514	7.980095469974912e-5
1515	7.601118268212304e-5
1516	8.02848764578812e-5
1517	8.093918731901794e-5
1518	7.592143665533513e-5
1519	7.633067907590885e-5
1520	7.456903877027799e-5
1521	7.58108835725579e-5
1522	7.871299530961552e-5
1523	7.189897223724984e-5
1524	7.521085681219122e-5
1525	7.349646148213648e-5
1526	7.547999557573348e-5
1527	8.39631109556649e-5
1528	8.700229664100331e-5
1529	8.499559189658611e-5
1530	9.242716696462596e-5
1531	8.024711860343814e-5
1532	9.545556240482247e-5
1533	9.717244247440249e-5
1534	0.000111910870327847
1535	0.0001126641160226425
1536	9.239870632882229e-5
1537	8.276316075352957e-5
1538	0.0001028090235195123
1539	9.5635832985863e-5
1540	9.983004856621847e-5
1541	0.000107270682201488
1542	0.0001016113928926644
1543	9.054590991581793e-5
1544	0.0001001291209831834
1545	0.0001068060104444158
1546	0.0001095379979233256
1547	0.0001038874332152773
1548	9.824971639318398e-5
1549	0.0001028796461469029
1550	0.0001082074661098887
1551	0.0001041120347508696
1552	8.955387093010356e-5
1553	0.0001124758287915029
1554	0.0001288586579903494
1555	0.000100629408552777
1556	8.713901370356329e-5
1557	7.916762406239288e-5
1558	7.577826327178628e-5
1559	9.345935686724263e-5
1560	9.531325486022982e-5
1561	9.517013277218216e-5
1562	8.617305502411909e-5
1563	7.894602022133769e-5
1564	8.49958247272298e-5
1565	9.047791681950917e-5
1566	8.948500326368961e-5
1567	7.033115471131169e-5
1568	7.965636432345489e-5
1569	8.014976629056039e-5
1570	8.264441930805329e-5
1571	9.034346949192692e-5
1572	9.202705405186862e-5
1573	7.284857165359428e-5
1574	7.753847094136291e-5
1575	7.966589109855709e-5
1576	8.189977015717893e-5
1577	7.597861149406522e-5
1578	8.522021271346605e-5
1579	8.563554947613744e-5
1580	8.130985697789581e-5
1581	8.354449455509893e-5
1582	7.819568672857714e-5
1583	8.222280557674824e-5
1584	7.762643035675867e-5
1585	7.39718132535927e-5
1586	7.721639522060284e-5
1587	7.57699817768298e-5
1588	7.480342283088248e-5
1589	7.475218080799095e-5
1590	7.232904135889838e-5
1591	7.876227027736604e-5
1592	6.829629601270426e-5
1593	6.811333514633591e-5
1594	7.185835165728351e-5
1595	6.78856347803958e-5
1596	7.063092161843087e-5
1597	7.101217524905224e-5
1598	6.386655913956931e-5
1599	6.461155498982407e-5
1600	6.61554429825628e-5
1601	6.757636510883457e-5
1602	6.804879812989385e-5
1603	6.507616308226717e-5
1604	6.559984758496285e-5
1605	6.503576296381652e-5
1606	6.715640556649307e-5
1607	6.976821096031927e-5
1608	6.65680563542992e-5
1609	6.809353653807196e-5
1610	6.354703109536786e-5
1611	6.846986580058e-5
1612	6.7109056544723e-5
1613	6.806689852965065e-5
1614	5.801851511932912e-5
1615	6.274148072407116e-5
1616	6.357661477522925e-5
1617	6.57656382827554e-5
1618	6.19237715000054e-5
1619	6.261378657654861e-5
1620	6.696140335407108e-5
1621	6.326152397377884e-5
1622	5.96679179579951e-5
1623	6.021051485731734e-5
1624	6.705783162033185e-5
1625	6.229909486137332e-5
1626	5.965938762528823e-5
1627	6.429048444260845e-5
1628	6.529084785142914e-5
1629	6.30497350357473e-5
1630	6.424480561690869e-5
1631	6.401510399882682e-5
1632	6.347981434373652e-5
1633	5.596578084805514e-5
1634	6.191163156472613e-5
1635	5.977712316962426e-5
1636	6.363410175254103e-5
1637	6.128471504780464e-5
1638	6.383989348250907e-5
1639	6.381073144439144e-5
1640	7.323400641325862e-5
1641	7.227751411846841e-5
1642	8.130526839522648e-5
1643	9.019687204272488e-5
1644	7.974803702381905e-5
1645	8.069331379374493e-5
1646	9.308142325608072e-5
1647	0.0001028966398735065
1648	0.0001121129840612412
1649	0.0001128126459661872
1650	7.448355754604564e-5
1651	7.421732661896385e-5
1652	8.672407348058194e-5
1653	0.0001104602284613065
1654	0.0001077250664820895
1655	0.0001067424440407196
1656	0.0001060111600963865
1657	0.0001143605186371134
1658	0.0001085333198716398
1659	0.0001034849316056353
1660	8.698610472492879e-5
1661	8.698610472492879e-5
1662	0.0001088217839424033
1663	0.0001196521036035847
1664	0.0001262822850549127
1665	0.000134502341825282
1666	0.0001594678775290957
1667	0.0001137707666202915
1668	0.0001211267233884428
1669	0.0001544056794955396
1670	0.0001162544525868726
1671	0.0001216068194480613
1672	0.0001843309320975094
1673	0.0001520508121757303
1674	0.0001096300045901443
1675	0.0001385985924571288
1676	0.0001488110683567356
1677	0.0001594935034518131
1678	0.0001367905548249837
1679	0.0001430394848284778
1680	0.0001860903110355138
1681	0.000220330391312018
1682	0.0001305136676819528
1683	9.98227820673492e-5
1684	0.0001410082499205602
1685	0.0001575326445163227
1686	0.0001665647272602656
1687	0.0001672587110078893
1688	0.0001465096444007941
1689	0.0001660918074776418
1690	0.0001607316742592956
1691	0.0001672823054832406
1692	0.0001992970355786382
1693	0.0001984632734092883
1694	0.0001083345683582593
1695	0.0001546190149383618
1696	0.000172764436865691
1697	0.0002508541525457986
1698	8.856152344378644e-5
1699	6.959316269785631e-5
1700	0.0001599101960891858
1701	0.0001916107750730589
1702	0.00020461592648644
1703	0.0001617098481801804
1704	0.0001619560003746302
1705	0.0001353991130599752
1706	0.0001685898540017661
1707	0.0001712156255962328
1708	0.0001531522677396423
1709	0.0001627817538974342
1710	0.0001653628874919378
1711	0.0001862981895101258
1712	0.0001907152807689271
1713	0.0001524253479146865
1714	0.00021543361217482
1715	0.0001970819954294712
1716	0.000120023245108314
1717	0.0001004472353088204
1718	0.0001442638633307068
1719	0.0001406407667673193
1720	0.000148389086825773
1721	0.0001526251166069415
1722	0.0001403542788466439
1723	0.000150974572170526
1724	0.000142701095319353
1725	0.0001494931406341492
1726	0.0001611456646060104
1727	0.0002029328286880627
1728	0.0001671553014602978
1729	0.0001623111427761615
1730	0.0001814134782762265
1731	0.0002249378827400505
1732	0.0001572234818013384
1733	0.0001043211530486587
1734	0.0001699124608421699
1735	0.0001652890554396437
1736	0.0001660033783991822
1737	0.0002040980441961438
1738	0.0001566929975524544
1739	0.0001581992342835293
1740	0.000201776072208304
1741	0.0001358063760562801
1742	0.0001314575434662402
1743	0.0001515214069513604
1744	0.0001721594933769666
1745	0.0001580951386131346
1746	0.0001744098859489896
1747	0.0001357880122668576
1748	0.0001705985720036551
1749	0.0001416858154698275
1750	0.0001231198482855688
1751	0.0001554975213366559
1752	0.0001455051758966874
1753	0.0001575855414557736
1754	0.0001514804556791206
1755	0.0001282493125472684
1756	0.0001423115689249244
1757	0.0001483078718592878
1758	0.0001555164955789223
1759	0.0001837441086536274
1760	0.0001225509760843124
1761	0.0001434133853763342
1762	0.0001558196265250444
1763	0.0001590562227647752
1764	0.0001609892198757734
1765	0.0001947969474713318
1766	0.0001500872065662407
1767	0.0001585997910297011
1768	0.0001884940807940439
1769	0.0001497553530498407
1770	0.0001572140710777605
1771	9.847633555182252e-5
1772	0.0001519514335086567
1773	0.0001528143191535492
1774	0.000124199416313786
1775	0.0001356641274469438
1776	0.0001462958687625359
1777	0.0001576798225869424
1778	0.000148840381007176
1779	0.0001288526356802321
1780	0.0001341081682767253
1781	0.0001554334252432454
1782	0.0001431987126125022
1783	0.0001370437355944888
1784	0.0001317647875112017
1785	0.0001305636178585701
1786	0.0001219615318404975
1787	0.0001375076441036073
1788	0.0001519416720839217
1789	0.0001201962972118055
1790	0.0001660976966377348
1791	0.0001053336061886512
1792	0.00012309212324908
1793	0.0001365439602523112
1794	0.0001217259879922494
1795	0.0001181490617454982
1796	0.0001304962774156592
1797	0.0001231396367074921
1798	0.0001101029833080248
1799	0.0001290978143515532
1800	0.0001223941901116632
1801	0.0001129815260355826
1802	0.0001116088118578775
1803	0.0001254106682608834
1804	0.000123302383144619
1805	0.0001188517038826831
1806	0.0001267424384423067
1807	0.0001322531017649452
1808	0.0001311611049459315
1809	9.246476183761841e-5
1810	0.000124510025489144
1811	0.0001093265396775677
1812	0.0001188898044347299
1813	0.0001145698683103547
1814	0.000121368354302831
1815	0.0001207979876198806
1816	0.0001031664098263719
1817	0.0001246920000994579
1818	0.0001198124424263369
1819	0.0001159505976829679
1820	0.0001142692097346299
1821	0.0001282261269807349
1822	0.0001185224806249607
1823	0.0001229540794156493
1824	9.092900654650295e-5
1825	0.0001123497306252831
1826	0.000115350518899504
1827	0.0001227464323164896
1828	0.0001005720674584154
1829	9.017600532388311e-5
1830	0.0001062236202415079
1831	9.377077803947052e-5
1832	0.0001017673661408481
1833	0.0001021357194986195
1834	0.0001101062887755687
1835	0.0001014376095554326
1836	9.650826468714531e-5
1837	0.0001100821769796312
1838	0.0001012634980725124
1839	0.0001122405876230916
1840	0.0001115814186050558
1841	0.0001167199858173262
1842	0.0001009397936286404
1843	7.528463320340961e-5
1844	9.534533674013806e-5
1845	0.0001066281081875787
1846	8.802186493994676e-5
