#cm^-1	mean 221006CaF2
1311	9.22E-05
1312	9.32E-05
1313	9.22E-05
1314	9.55E-05
1315	9.75E-05
1316	9.44E-05
1317	9.86E-05
1318	9.24E-05
1319	8.96E-05
1320	9.28E-05
1321	9.33E-05
1322	9.76E-05
1323	9.00E-05
1324	9.85E-05
1325	9.41E-05
1326	8.76E-05
1327	9.28E-05
1328	8.90E-05
1329	8.92E-05
1330	9.48E-05
1331	9.30E-05
1332	8.89E-05
1333	9.24E-05
1334	9.21E-05
1335	8.97E-05
1336	9.01E-05
1337	8.82E-05
1338	8.74E-05
1339	8.93E-05
1340	9.43E-05
1341	9.80E-05
1342	9.06E-05
1343	9.37E-05
1344	8.58E-05
1345	9.26E-05
1346	9.08E-05
1347	9.10E-05
1348	9.45E-05
1349	9.78E-05
1350	7.71E-05
1351	7.71E-05
1352	7.99E-05
1353	8.19E-05
1354	8.44E-05
1355	8.10E-05
1356	8.39E-05
1357	8.69E-05
1358	8.82E-05
1359	8.39E-05
1360	8.91E-05
1361	8.75E-05
1362	9.04E-05
1363	9.44E-05
1364	9.08E-05
1365	9.47E-05
1366	9.02E-05
1367	8.87E-05
1368	9.44E-05
1369	9.05E-05
1370	9.82E-05
1371	9.97E-05
1372	8.93E-05
1373	9.32E-05
1374	9.40E-05
1375	9.60E-05
1376	9.46E-05
1377	8.81E-05
1378	9.39E-05
1379	9.53E-05
1380	9.43E-05
1381	9.46E-05
1382	8.86E-05
1383	9.47E-05
1384	9.74E-05
1385	9.11E-05
1386	8.53E-05
1387	8.84E-05
1388	9.42E-05
1389	0.000101725
1390	9.38E-05
1391	0.000105761
1392	9.72E-05
1393	8.90E-05
1394	9.89E-05
1395	0.000101521
1396	0.000107197
1397	9.69E-05
1398	0.000100773
1399	0.000101973
1400	0.000112426
1401	0.000116618
1402	0.000115583
1403	9.31E-05
1404	0.000113235
1405	0.000122373
1406	0.000119061
1407	0.000117385
1408	0.000119063
1409	0.000118678
1410	0.000123273
1411	0.000119526
1412	0.000127406
1413	0.00013494
1414	0.000136242
1415	0.000141854
1416	0.000145674
1417	0.000102584
1418	0.000102534
1419	0.000125574
1420	0.000129745
1421	0.000125156
1422	0.000108064
1423	0.000108429
1424	0.000120781
1425	0.000117803
1426	0.000126794
1427	0.000111305
1428	8.89E-05
1429	0.000109496
1430	0.000108661
1431	0.000111534
1432	0.000119107
1433	0.000132879
1434	0.000101843
1435	8.74E-05
1436	0.000100557
1437	9.73E-05
1438	9.92E-05
1439	0.000103316
1440	0.000100093
1441	9.69E-05
1442	9.82E-05
1443	9.55E-05
1444	0.000103903
1445	0.000107695
1446	9.08E-05
1447	9.53E-05
1448	9.77E-05
1449	9.48E-05
1450	9.66E-05
1451	9.84E-05
1452	0.00010698
1453	0.000118794
1454	0.000116985
1455	9.13E-05
1456	9.12E-05
1457	9.02E-05
1458	9.79E-05
1459	0.000103563
1460	9.88E-05
1461	0.000112795
1462	9.56E-05
1463	8.83E-05
1464	9.65E-05
1465	8.54E-05
1466	9.33E-05
1467	9.56E-05
1468	9.74E-05
1469	0.000100985
1470	8.64E-05
1471	8.49E-05
1472	9.02E-05
1473	9.06E-05
1474	8.94E-05
1475	7.96E-05
1476	8.30E-05
1477	8.75E-05
1478	8.31E-05
1479	8.47E-05
1480	8.94E-05
1481	8.81E-05
1482	8.28E-05
1483	8.86E-05
1484	9.22E-05
1485	8.85E-05
1486	8.40E-05
1487	8.28E-05
1488	8.65E-05
1489	7.69E-05
1490	8.18E-05
1491	8.25E-05
1492	8.54E-05
1493	8.78E-05
1494	8.08E-05
1495	8.84E-05
1496	8.16E-05
1497	8.25E-05
1498	8.01E-05
1499	8.35E-05
1500	8.77E-05
1501	7.99E-05
1502	8.68E-05
1503	8.73E-05
1504	8.55E-05
1505	8.29E-05
1506	7.52E-05
1507	7.87E-05
1508	8.04E-05
1509	8.51E-05
1510	8.19E-05
1511	7.93E-05
1512	8.12E-05
1513	7.71E-05
1514	8.21E-05
1515	7.81E-05
1516	8.14E-05
1517	7.57E-05
1518	8.23E-05
1519	7.88E-05
1520	7.97E-05
1521	7.89E-05
1522	7.81E-05
1523	7.83E-05
1524	7.86E-05
1525	8.32E-05
1526	7.88E-05
1527	8.06E-05
1528	8.11E-05
1529	8.52E-05
1530	8.54E-05
1531	7.99E-05
1532	8.44E-05
1533	8.90E-05
1534	9.20E-05
1535	0.000100507
1536	8.50E-05
1537	8.72E-05
1538	9.79E-05
1539	0.000105946
1540	0.000104862
1541	0.000115365
1542	0.000114388
1543	9.89E-05
1544	0.000112515
1545	0.000131598
1546	0.000138561
1547	0.000139771
1548	0.000126387
1549	0.000151767
1550	0.000169998
1551	0.000181528
1552	0.000144563
1553	0.000180808
1554	0.000213803
1555	0.000154944
1556	0.000112498
1557	0.000109708
1558	0.00010223
1559	0.000154315
1560	0.000188454
1561	0.000203655
1562	0.000177932
1563	0.000162585
1564	0.000169573
1565	0.000196089
1566	0.000206172
1567	0.000127688
1568	0.000139051
1569	0.000157153
1570	0.000165541
1571	0.00017
1572	0.000179749
1573	0.000146249
1574	0.000108009
1575	0.000141262
1576	0.000150809
1577	0.000142618
1578	0.000141642
1579	0.000156829
1580	0.000145863
1581	0.000145994
1582	0.000155406
1583	0.000146554
1584	0.000134438
1585	0.000136328
1586	0.000138974
1587	0.000138784
1588	0.000130977
1589	0.000135498
1590	0.00013286
1591	0.000129416
1592	0.000125335
1593	0.000118491
1594	0.000127038
1595	0.000122253
1596	0.000126321
1597	0.000115585
1598	0.000118741
1599	0.000118116
1600	0.000120527
1601	0.000107231
1602	0.000107439
1603	0.000109725
1604	0.000111231
1605	0.000105678
1606	0.000114021
1607	9.53E-05
1608	0.000105503
